Municipios;Postos;Latitude;Longitude;Anos;Meses;Total;Dia1;Dia2;Dia3;Dia4;Dia5;Dia6;Dia7;Dia8;Dia9;Dia10;Dia11;Dia12;Dia13;Dia14;Dia15;Dia16;Dia17;Dia18;Dia19;Dia20;Dia21;Dia22;Dia23;Dia24;Dia25;Dia26;Dia27;Dia28;Dia29;Dia30;Dia31
Independência;INDEPENDENCIA;-5.3937777777778;-40.312361111111;1995;3;77.5;0.0;14.0;0.0;2.1;0.0;0.0;0.0;0.0;9.3;0.0;0.0;0.0;0.0;3.3;0.0;13.0;0.0;0.0;0.0;2.2;0.0;0.0;0.0;0.0;24.4;4.0;0.0;5.2;0.0;0.0;0.0
Independência;INDEPENDENCIA;-5.3937777777778;-40.312361111111;1995;4;280.8;0.0;12.5;0.0;0.0;0.0;6.0;4.1;4.0;42.1;2.0;0.0;0.0;0.0;0.0;8.1;20.0;29.0;5.0;0.0;44.0;1.0;103.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;NaN
Independência;INDEPENDENCIA;-5.3937777777778;-40.312361111111;1995;5;188.1;0.0;40.0;27.1;5.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;2.4;0.0;0.0;0.0;0.0;14.0;12.0;0.0;4.4;41.0;0.0;33.0;0.0;0.0;9.2;0.0
Independência;INDEPENDENCIA;-5.3937777777778;-40.312361111111;1995;6;18.4;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.4;0.0;6.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;11.0;0.0;0.0;0.0;0.0;NaN
Independência;INDEPENDENCIA;-5.3937777777778;-40.312361111111;1995;7;17.3;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;13.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;4.3;0.0;0.0;0.0;0.0;0.0;0.0;0.0
Independência;INDEPENDENCIA;-5.3937777777778;-40.312361111111;1995;8;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
Independência;INDEPENDENCIA;-5.3937777777778;-40.312361111111;1995;9;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;NaN
Independência;INDEPENDENCIA;-5.3937777777778;-40.312361111111;1995;10;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
Independência;INDEPENDENCIA;-5.3937777777778;-40.312361111111;1995;11;11.4;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;11.4;0.0;0.0;0.0;0.0;0.0;0.0;NaN
Independência;INDEPENDENCIA;-5.3937777777778;-40.312361111111;1995;12;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
